#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
   49.000000;   52.000000;  -11.500000;    0.000000;   -0.024987;    0.099740;    0.000000;   -0.057307;    0.166518;   -0.000159;    0.168294;   -1.903760;  119.264380;   -8.612814
   50.000000;   40.000000;  -12.000000;    0.000000;   -0.015367;    0.083616;    0.000000;   -0.074558;    0.158981;    0.000699;    0.188139;  -17.852422;  108.574797;   37.829735
   51.000000;   40.500000;  -12.000000;    0.000000;   -0.015749;    0.084708;    0.000000;   -0.077880;    0.165485;    0.000659;    0.191761;  -18.802061;  112.944828;   35.681557
   52.000000;   41.000000;  -12.000000;    0.000000;   -0.016147;    0.085761;    0.000000;   -0.080428;    0.171352;    0.000613;    0.194618;  -19.296273;  117.005735;   33.205116
   53.000000;   41.500000;  -12.000000;    0.000000;   -0.016555;    0.086770;    0.000000;   -0.082273;    0.176027;    0.000562;    0.196373;  -19.540338;  120.291393;   30.443756
   54.000000;   42.000000;  -12.000000;    0.000000;   -0.016970;    0.087730;    0.000000;   -0.083667;    0.179931;    0.000512;    0.197677;  -19.626359;  123.073395;   27.707974
   55.000000;   42.500000;  -12.000000;    0.000000;   -0.017391;    0.088652;    0.000000;   -0.084879;    0.183370;    0.000465;    0.198963;  -19.688508;  125.529293;   25.159315
   56.000000;   43.000000;  -12.000000;    0.000000;   -0.017820;    0.089533;    0.000000;   -0.085445;    0.186443;    0.000416;    0.199904;  -19.326036;  127.861460;   22.501226
   57.000000;   43.500000;  -12.000000;    0.000000;   -0.018247;    0.090370;    0.000000;   -0.085462;    0.188355;    0.000364;    0.199854;  -18.830174;  129.401840;   19.702849
   58.000000;   44.000000;  -12.000000;    0.000000;   -0.018674;    0.091159;    0.000000;   -0.085215;    0.189561;    0.000315;    0.199401;  -18.309181;  130.441692;   17.028568
   59.000000;   44.500000;  -12.000000;    0.000000;   -0.019099;    0.091907;    0.000000;   -0.084492;    0.189700;    0.000271;    0.198216;  -17.688061;  130.746979;   14.643976
   60.000000;   45.000000;  -12.000000;    0.000000;   -0.019519;    0.092614;    0.000000;   -0.083584;    0.189678;    0.000225;    0.196964;  -16.960011;  130.971294;   12.170182
   61.000000;   45.500000;  -12.000000;    0.000000;   -0.019935;    0.093277;    0.000000;   -0.082515;    0.189484;    0.000180;    0.195705;  -16.147998;  131.099319;    9.767772
   62.000000;   46.000000;  -12.000000;    0.000000;   -0.020344;    0.093899;    0.000000;   -0.081179;    0.188860;    0.000140;    0.194209;  -15.235021;  130.951679;    7.603768
   63.000000;   46.500000;  -12.000000;    0.000000;   -0.020747;    0.094483;    0.000000;   -0.079549;    0.187658;    0.000105;    0.192286;  -14.238610;  130.414959;    5.657287
   64.000000;   47.000000;  -12.000000;    0.000000;   -0.021140;    0.095030;    0.000000;   -0.077702;    0.186230;    0.000070;    0.190225;  -13.126729;  129.753983;    3.787678
   65.000000;   47.500000;  -12.000000;    0.000000;   -0.021524;    0.095542;    0.000000;   -0.075904;    0.184695;    0.000038;    0.188194;  -12.082831;  128.993355;    2.065049
   66.000000;   48.000000;  -12.000000;    0.000000;   -0.021899;    0.096020;    0.000000;   -0.074227;    0.182982;    0.000010;    0.186131;  -11.184533;  128.056473;    0.548753
   67.000000;   48.500000;  -12.000000;    0.000000;   -0.022266;    0.096469;    0.000000;   -0.072556;    0.181133;   -0.000015;    0.184015;  -10.328233;  127.007301;   -0.792165
   68.000000;   49.000000;  -12.000000;    0.000000;   -0.022624;    0.096890;    0.000000;   -0.070772;    0.179264;   -0.000037;    0.181907;   -9.384413;  125.973190;   -2.015225
   69.000000;   49.500000;  -12.000000;    0.000000;   -0.022974;    0.097286;    0.000000;   -0.068653;    0.177477;   -0.000060;    0.179850;   -8.148663;  125.094435;   -3.231447
   70.000000;   50.000000;  -12.000000;    0.000000;   -0.023311;    0.097655;    0.000000;   -0.066600;    0.175349;   -0.000080;    0.177532;   -7.057919;  123.922190;   -4.305527
   71.000000;   50.500000;  -12.000000;    0.000000;   -0.023640;    0.097999;    0.000000;   -0.064838;    0.173302;   -0.000096;    0.175376;   -6.179852;  122.738232;   -5.205348
   72.000000;   51.000000;  -12.000000;    0.000000;   -0.023959;    0.098321;    0.000000;   -0.063114;    0.171074;   -0.000111;    0.173076;   -5.380696;  121.397985;   -5.987542
   73.000000;   51.500000;  -12.000000;    0.000000;   -0.024270;    0.098621;    0.000000;   -0.061510;    0.168710;   -0.000122;    0.170670;   -4.714793;  119.915634;   -6.621044
